2019-03-24 16:30:02.4657 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get | INFO | Start getting all customers. |  | 
2019-03-24 17:28:17.0284 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:28:48.1917 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:28:48.3140 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:30:02.8953 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:30:08.4081 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:30:15.0908 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:30:15.1196 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

